ident,type,name,elevation_ft,continent,iso_country,iso_region,municipality,gps_code,iata_code,local_code,coordinates
LPGR,medium_airport,Graciosa Airport,86.0,EU,PT,PT-20,Santa Cruz da Graciosa,LPGR,GRW,,"-28.029800415039062, 39.092201232910156"
LPHR,medium_airport,Horta Airport,118.0,EU,PT,PT-20,Horta,LPHR,HOR,,"-28.715900421142578, 38.519901275634766"
LPLA,large_airport,Lajes Airport,180.0,EU,PT,PT-20,Praia da VitÃ³ria,LPLA,TER,,"-27.090799, 38.761799"
LPMA,medium_airport,Madeira Airport,192.0,EU,PT,PT-30,Funchal,LPMA,FNC,,"-16.7745, 32.697899"
LPMR,medium_airport,Monte Real Air Base,187.0,EU,PT,PT-10,,LPMR,QLR,,"-8.8875, 39.828335"
LPPD,large_airport,JoÃ£o Paulo II Airport,259.0,EU,PT,PT-20,Ponta Delgada,LPPD,PDL,,"-25.6979007721, 37.7411994934"
LPPI,medium_airport,Pico Airport,109.0,EU,PT,PT-20,Pico Island,LPPI,PIX,,"-28.441299, 38.554298"
LPPM,medium_airport,PortimÃ£o Airport,5.0,EU,PT,PT-08,PortimÃ£o,LPPM,PRM,,"-8.58396, 37.1493"
LPPR,large_airport,Francisco de SÃ¡ Carneiro Airport,228.0,EU,PT,PT-13,Porto,LPPR,OPO,,"-8.68138980865, 41.2481002808"
LPPS,medium_airport,Porto Santo Airport,341.0,EU,PT,PT-30,Vila Baleira,LPPS,PXO,,"-16.3500003815, 33.0733985901"
LPPT,large_airport,Humberto Delgado Airport (Lisbon Portela Airport),374.0,EU,PT,PT-11,Lisbon,LPPT,LIS,,"-9.13592, 38.7813"
LPSI,closed,Sines Airport,,EU,PT,PT-15,,LPSI,SIE,,"-8.817301, 37.941692"
LPSJ,medium_airport,SÃ£o Jorge Airport,311.0,EU,PT,PT-20,Velas,LPSJ,SJZ,,"-28.1758, 38.665501"
LPVR,medium_airport,Vila Real Airport,1805.0,EU,PT,PT-17,Vila Real,LPVR,VRL,,"-7.72047, 41.2743"
LPVZ,medium_airport,Aerodromo Goncalves Lobato (Viseu Airport),2060.0,EU,PT,PT-18,Viseu,LPVZ,VSE,,"-7.88899, 40.725498"
LSGG,large_airport,Geneva Cointrin International Airport,1411.0,EU,CH,CH-GE,Geneva,LSGG,GVA,,"6.108950138092041, 46.23809814453125"
LSGN,small_airport,Neuchatel Airport,1427.0,EU,CH,CH-NE,,LSGN,QNC,,"6.86471986771, 46.9575004578"
LSGS,medium_airport,Sion Airport,1582.0,EU,CH,CH-VS,Sion,LSGS,SIR,,"7.326944, 46.219166"
LSME,medium_airport,Emmen Air Base,1400.0,EU,CH,CH-LU,,LSME,EML,,"8.305184, 47.092444"
LSMI,closed,Interlaken Air Base,,EU,CH,CH-BE,,LSMI,ZIN,,"7.8790798, 46.6766014"
LSZA,medium_airport,Lugano Airport,915.0,EU,CH,CH-TI,Lugano,LSZA,LUG,,"8.9105796814, 46.00429916379999"
LSZB,medium_airport,Bern Belp Airport,1674.0,EU,CH,CH-BE,Bern,LSZB,BRN,,"7.497149944309999, 46.914100647"
LSZC,small_airport,Buochs Airport,1475.0,EU,CH,CH-NW,Buochs,LSZC,BXO,,"8.396944, 46.974444"
LSZD,closed,Ascona Airport,655.0,EU,CH,CH-TI,Ascona,LSZD,ACO,,"8.78194046021, 46.157798767100005"
LSZG,medium_airport,Grenchen Airport,1411.0,EU,CH,CH-SO,Grenchen,LSZG,ZHI,,"7.41719, 47.181599"
LSZH,large_airport,ZÃ¼rich Airport,1416.0,EU,CH,CH-ZH,Zurich,LSZH,ZRH,,"8.54917, 47.464699"
LSZL,small_airport,Locarno Airport,650.0,EU,CH,CH-TI,Locarno,LSZL,ZJI,,"8.87860965729, 46.160800933800004"
LSZR,medium_airport,St Gallen Altenrhein Airport,1306.0,EU,CH,CH-SG,Altenrhein,LSZR,ACH,,"9.560770034789998, 47.4850006104"
LSZS,medium_airport,Samedan Airport,5600.0,EU,CH,CH-GR,,LSZS,SMV,,"9.884110450744629, 46.53409957885742"
LZIB,large_airport,M. R. Å tefÃ¡nik Airport,436.0,EU,SK,SK-BL,Bratislava,LZIB,BTS,,"17.21269989013672, 48.17020034790039"
LZKZ,medium_airport,KoÅ¡ice Airport,755.0,EU,SK,SK-KI,KoÅ¡ice,LZKZ,KSC,,"21.241100311279297, 48.66310119628906"
LZLU,small_airport,LuÄenec Airport,,EU,SK,SK-BC,LuÄenec,LZLU,LUE,,"19.73579978942871, 48.33940124511719"
LZPP,medium_airport,PieÅ¡Å¥any Airport,545.0,EU,SK,SK-TA,PieÅ¡Å¥any,LZPP,PZY,,"17.828399658203125, 48.62519836425781"
LZPW,small_airport,PreÅ¡ov Air Base,1060.0,EU,SK,SK-PV,PreÅ¡ov,LZPW,POV,,"21.315599441528, 49.02970123291"
LZSL,medium_airport,SliaÄ Airport,1043.0,EU,SK,SK-BC,SliaÄ,LZSL,SLD,,"19.13409996032715, 48.63779830932617"
LZTT,medium_airport,Poprad-Tatry Airport,2356.0,EU,SK,SK-KI,Poprad,LZTT,TAT,,"20.2411003113, 49.073600769"
LZZI,medium_airport,Å½ilina Airport,1020.0,EU,SK,SK-ZI,Å½ilina,LZZI,ILZ,,"18.6135005951, 49.231498718299996"
